Reading,Receive,Value,Unit,Quality
2016-07-22 04:41:26,2016-07-22 04:41:30,4.97,ft,A
2016-07-22 04:11:29,2016-07-22 04:11:32,4.97,ft,A
2016-07-22 03:40:58,2016-07-22 03:41:01,4.98,ft,A
2016-07-22 03:10:47,2016-07-22 03:10:51,4.98,ft,A
2016-07-22 02:40:34,2016-07-22 02:40:42,4.98,ft,A
2016-07-22 02:10:34,2016-07-22 02:10:37,4.98,ft,A
2016-07-22 01:40:33,2016-07-22 01:40:36,4.99,ft,A
2016-07-22 01:10:23,2016-07-22 01:10:26,4.99,ft,A
2016-07-22 00:39:57,2016-07-22 00:40:00,4.98,ft,A
2016-07-22 00:10:17,2016-07-22 00:10:20,4.99,ft,A
2016-07-21 23:40:10,2016-07-21 23:40:13,4.99,ft,A
2016-07-21 23:10:00,2016-07-21 23:10:03,4.98,ft,A
2016-07-21 22:40:13,2016-07-21 22:40:17,4.98,ft,A
2016-07-21 22:10:08,2016-07-21 22:10:11,4.99,ft,A
2016-07-21 21:40:18,2016-07-21 21:40:21,4.98,ft,A
2016-07-21 21:10:06,2016-07-21 21:10:09,4.98,ft,A
2016-07-21 20:40:18,2016-07-21 20:40:21,4.99,ft,A
2016-07-21 20:10:47,2016-07-21 20:10:50,4.99,ft,A
2016-07-21 19:40:59,2016-07-21 19:41:02,4.99,ft,A
2016-07-21 19:10:44,2016-07-21 19:10:47,4.99,ft,A
2016-07-21 18:41:44,2016-07-21 18:41:47,4.99,ft,A
2016-07-21 18:10:42,2016-07-21 18:10:46,4.98,ft,A
2016-07-21 17:40:11,2016-07-21 17:40:14,4.99,ft,A
2016-07-21 17:10:33,2016-07-21 17:10:37,4.99,ft,A
2016-07-21 16:40:18,2016-07-21 16:40:21,4.99,ft,A
2016-07-21 16:10:32,2016-07-21 16:10:35,4.99,ft,A
2016-07-21 15:10:35,2016-07-21 15:10:38,4.98,ft,A
2016-07-21 14:41:17,2016-07-21 14:41:21,4.98,ft,A
2016-07-21 14:10:57,2016-07-21 14:11:00,4.97,ft,A
2016-07-21 13:40:58,2016-07-21 13:41:01,4.97,ft,A
2016-07-21 13:10:52,2016-07-21 13:10:55,4.96,ft,A
2016-07-21 12:40:57,2016-07-21 12:41:00,4.96,ft,A
2016-07-21 12:09:56,2016-07-21 12:09:59,4.95,ft,A
2016-07-21 11:40:30,2016-07-21 11:40:33,4.96,ft,A
2016-07-21 11:10:36,2016-07-21 11:10:39,4.95,ft,A
2016-07-21 10:40:56,2016-07-21 10:40:59,4.95,ft,A
2016-07-21 10:11:15,2016-07-21 10:11:18,4.94,ft,A
2016-07-21 09:40:57,2016-07-21 09:41:01,4.95,ft,A
2016-07-21 09:11:20,2016-07-21 09:11:23,4.93,ft,A
2016-07-21 08:41:23,2016-07-21 08:41:26,4.91,ft,A
2016-07-21 08:12:06,2016-07-21 08:12:09,4.93,ft,A
2016-07-21 07:42:47,2016-07-21 07:42:51,4.92,ft,A
2016-07-21 07:13:17,2016-07-21 07:13:20,4.78,ft,A
2016-07-21 06:47:01,2016-07-21 06:47:04,4.77,ft,A
2016-07-20 18:10:06,2016-07-20 18:10:10,4.77,ft,A
2016-07-20 17:40:22,2016-07-20 17:40:25,4.77,ft,A
2016-07-20 17:10:52,2016-07-20 17:10:55,4.77,ft,A
2016-07-20 16:41:05,2016-07-20 16:41:11,4.77,ft,A
2016-07-20 16:11:47,2016-07-20 16:11:51,4.77,ft,A
2016-07-20 15:41:29,2016-07-20 15:41:32,4.77,ft,A
2016-07-20 15:10:44,2016-07-20 15:10:47,4.78,ft,A
2016-07-20 14:41:09,2016-07-20 14:41:15,4.78,ft,A
2016-07-20 14:10:54,2016-07-20 14:10:58,4.78,ft,A
2016-07-20 13:41:23,2016-07-20 13:41:26,4.78,ft,A
2016-07-20 13:12:50,2016-07-20 13:12:54,4.78,ft,A
2016-07-20 12:41:03,2016-07-20 12:41:07,4.78,ft,A
2016-07-20 12:12:18,2016-07-20 12:12:21,4.78,ft,A
2016-07-20 11:41:35,2016-07-20 11:41:38,4.79,ft,A
2016-07-20 11:10:42,2016-07-20 11:10:46,4.80,ft,A
2016-07-20 10:40:32,2016-07-20 10:40:36,4.79,ft,A
2016-07-20 10:10:35,2016-07-20 10:10:38,4.79,ft,A
2016-07-20 09:40:44,2016-07-20 09:40:47,4.80,ft,A
2016-07-20 09:11:24,2016-07-20 09:11:27,4.81,ft,A
2016-07-20 08:41:37,2016-07-20 08:41:40,4.81,ft,A
2016-07-20 08:12:49,2016-07-20 08:12:52,4.82,ft,A
2016-07-20 07:42:44,2016-07-20 07:42:47,4.83,ft,A
2016-07-20 07:12:37,2016-07-20 07:12:40,4.83,ft,A
2016-07-20 06:42:12,2016-07-20 06:42:15,4.82,ft,A
2016-07-20 06:11:54,2016-07-20 06:11:57,4.83,ft,A
2016-07-20 05:42:24,2016-07-20 05:42:27,4.82,ft,A
2016-07-20 05:11:22,2016-07-20 05:11:25,4.81,ft,A
2016-07-20 04:41:43,2016-07-20 04:41:46,4.81,ft,A
2016-07-20 04:11:02,2016-07-20 04:11:05,4.81,ft,A
2016-07-20 03:40:59,2016-07-20 03:41:02,4.81,ft,A
2016-07-20 03:10:53,2016-07-20 03:10:56,4.81,ft,A
2016-07-20 02:40:26,2016-07-20 02:40:29,4.81,ft,A
2016-07-20 02:10:16,2016-07-20 02:10:19,4.81,ft,A
2016-07-20 01:40:17,2016-07-20 01:40:20,4.81,ft,A
2016-07-20 01:10:23,2016-07-20 01:10:26,4.81,ft,A
2016-07-20 00:40:11,2016-07-20 00:40:14,4.81,ft,A
2016-07-20 00:10:35,2016-07-20 00:10:39,4.82,ft,A
2016-07-19 23:40:25,2016-07-19 23:40:28,4.82,ft,A
2016-07-19 23:10:38,2016-07-19 23:10:41,4.81,ft,A
2016-07-19 22:40:04,2016-07-19 22:40:07,4.82,ft,A
2016-07-19 22:10:05,2016-07-19 22:10:08,4.82,ft,A
2016-07-19 21:40:01,2016-07-19 21:40:04,4.82,ft,A
2016-07-19 21:10:08,2016-07-19 21:10:11,4.82,ft,A
2016-07-19 20:40:13,2016-07-19 20:40:17,4.82,ft,A
2016-07-19 20:10:05,2016-07-19 20:10:08,4.82,ft,A
2016-07-19 19:40:15,2016-07-19 19:40:18,4.82,ft,A
2016-07-19 19:10:29,2016-07-19 19:10:32,4.82,ft,A
2016-07-19 18:40:13,2016-07-19 18:40:17,4.82,ft,A
2016-07-19 18:10:24,2016-07-19 18:10:28,4.82,ft,A
2016-07-19 17:40:13,2016-07-19 17:40:17,4.82,ft,A
2016-07-19 17:10:20,2016-07-19 17:10:23,4.82,ft,A
2016-07-19 16:40:46,2016-07-19 16:40:49,4.83,ft,A
2016-07-19 16:11:32,2016-07-19 16:11:35,4.83,ft,A
2016-07-19 15:41:14,2016-07-19 15:41:17,4.83,ft,A
2016-07-19 15:11:25,2016-07-19 15:11:28,4.82,ft,A
2016-07-19 14:41:14,2016-07-19 14:41:17,4.82,ft,A
2016-07-19 14:10:25,2016-07-19 14:10:28,4.83,ft,A
2016-07-19 13:40:51,2016-07-19 13:40:54,4.83,ft,A
2016-07-19 13:10:38,2016-07-19 13:10:41,4.83,ft,A
2016-07-19 12:41:06,2016-07-19 12:41:09,4.84,ft,A
2016-07-19 12:11:19,2016-07-19 12:11:23,4.83,ft,A
2016-07-19 11:42:00,2016-07-19 11:42:03,4.84,ft,A
2016-07-19 11:11:17,2016-07-19 11:11:20,4.84,ft,A
2016-07-19 10:47:58,2016-07-19 10:48:01,4.86,ft,A
2016-07-19 09:41:00,2016-07-19 09:41:03,4.87,ft,A
2016-07-19 09:11:02,2016-07-19 09:11:05,4.88,ft,A
2016-07-19 08:41:31,2016-07-19 08:41:34,4.88,ft,A
2016-07-19 08:12:19,2016-07-19 08:12:22,4.99,ft,A
2016-07-19 07:42:39,2016-07-19 07:42:43,5.02,ft,A
2016-07-19 07:12:36,2016-07-19 07:12:40,5.32,ft,A
2016-07-19 06:42:40,2016-07-19 06:42:44,5.30,ft,A
2016-07-19 06:12:22,2016-07-19 06:12:25,5.30,ft,A
2016-07-19 05:41:39,2016-07-19 05:41:43,5.30,ft,A
2016-07-19 05:11:43,2016-07-19 05:11:47,5.31,ft,A
2016-07-19 04:41:37,2016-07-19 04:41:41,5.30,ft,A
2016-07-19 04:10:58,2016-07-19 04:11:02,5.30,ft,A
2016-07-19 03:41:28,2016-07-19 03:41:31,5.31,ft,A
2016-07-19 03:10:56,2016-07-19 03:10:59,5.32,ft,A
2016-07-19 02:41:01,2016-07-19 02:41:04,5.31,ft,A
2016-07-19 02:11:02,2016-07-19 02:11:05,5.30,ft,A
2016-07-19 01:40:59,2016-07-19 01:41:02,5.31,ft,A
2016-07-19 01:10:56,2016-07-19 01:10:59,5.29,ft,A
2016-07-19 00:41:06,2016-07-19 00:41:09,5.29,ft,A
2016-07-19 00:10:57,2016-07-19 00:11:00,5.30,ft,A
2016-07-18 23:41:03,2016-07-18 23:41:07,5.30,ft,A
2016-07-18 23:11:01,2016-07-18 23:11:04,5.30,ft,A
2016-07-18 22:41:00,2016-07-18 22:41:03,5.31,ft,A
2016-07-18 22:10:49,2016-07-18 22:10:52,5.30,ft,A
2016-07-18 21:40:47,2016-07-18 21:40:51,5.30,ft,A
2016-07-18 21:10:48,2016-07-18 21:10:52,5.30,ft,A
2016-07-18 20:40:28,2016-07-18 20:40:32,5.30,ft,A
2016-07-18 20:10:36,2016-07-18 20:10:40,5.30,ft,A
2016-07-18 19:40:34,2016-07-18 19:40:37,5.29,ft,A
2016-07-18 19:10:56,2016-07-18 19:10:59,5.30,ft,A
2016-07-18 18:40:28,2016-07-18 18:40:31,5.29,ft,A
2016-07-18 18:10:39,2016-07-18 18:10:42,5.30,ft,A
2016-07-18 17:40:51,2016-07-18 17:40:54,5.30,ft,A
2016-07-18 17:10:49,2016-07-18 17:10:52,5.30,ft,A
2016-07-18 16:40:46,2016-07-18 16:40:50,5.31,ft,A
2016-07-18 16:12:05,2016-07-18 16:12:09,5.31,ft,A
2016-07-18 15:40:50,2016-07-18 15:40:54,5.32,ft,A
2016-07-18 15:11:11,2016-07-18 15:11:15,5.32,ft,A
2016-07-18 14:41:25,2016-07-18 14:41:28,5.32,ft,A
2016-07-18 14:11:02,2016-07-18 14:11:06,5.32,ft,A
2016-07-18 13:41:07,2016-07-18 13:41:11,5.32,ft,A
2016-07-18 13:10:45,2016-07-18 13:10:48,5.32,ft,A
2016-07-18 12:40:41,2016-07-18 12:40:44,5.32,ft,A
2016-07-18 12:10:34,2016-07-18 12:10:37,5.32,ft,A
2016-07-18 11:40:30,2016-07-18 11:40:33,5.32,ft,A
2016-07-18 11:11:14,2016-07-18 11:11:17,5.31,ft,A
2016-07-18 10:40:31,2016-07-18 10:40:34,5.31,ft,A
2016-07-18 10:11:02,2016-07-18 10:11:05,5.30,ft,A
2016-07-18 09:41:24,2016-07-18 09:41:27,5.31,ft,A
2016-07-18 09:11:40,2016-07-18 09:11:43,5.30,ft,A
2016-07-18 08:42:38,2016-07-18 08:42:42,5.30,ft,A
2016-07-18 08:12:45,2016-07-18 08:12:48,5.29,ft,A
2016-07-18 07:43:17,2016-07-18 07:43:20,5.29,ft,A
2016-07-18 07:13:44,2016-07-18 07:13:47,5.28,ft,A
2016-07-18 06:45:24,2016-07-18 06:45:27,5.28,ft,A
2016-07-18 06:12:22,2016-07-18 06:12:25,5.29,ft,A
2016-07-18 05:42:22,2016-07-18 05:42:26,5.30,ft,A
2016-07-18 05:12:18,2016-07-18 05:12:21,5.29,ft,A
2016-07-18 04:41:39,2016-07-18 04:41:43,5.30,ft,A
2016-07-18 04:10:49,2016-07-18 04:10:52,5.29,ft,A
2016-07-18 03:41:17,2016-07-18 03:41:21,5.30,ft,A
2016-07-18 03:11:09,2016-07-18 03:11:13,5.30,ft,A
2016-07-18 02:41:13,2016-07-18 02:41:16,5.29,ft,A
2016-07-18 02:10:51,2016-07-18 02:10:54,5.30,ft,A
2016-07-18 01:41:13,2016-07-18 01:41:17,5.30,ft,A
2016-07-18 01:10:26,2016-07-18 01:10:29,5.29,ft,A
2016-07-18 00:40:46,2016-07-18 00:40:49,5.30,ft,A
2016-07-18 00:10:26,2016-07-18 00:10:29,5.30,ft,A
2016-07-17 23:40:26,2016-07-17 23:40:29,5.30,ft,A
2016-07-17 23:11:28,2016-07-17 23:11:32,5.30,ft,A
2016-07-17 22:41:07,2016-07-17 22:41:10,5.31,ft,A
2016-07-17 22:10:21,2016-07-17 22:10:25,5.31,ft,A
2016-07-17 21:46:37,2016-07-17 21:46:40,5.31,ft,A
2016-07-17 03:41:19,2016-07-17 03:41:27,5.26,ft,A
2016-07-17 03:10:49,2016-07-17 03:10:52,5.27,ft,A
2016-07-17 02:40:43,2016-07-17 02:40:46,5.27,ft,A
2016-07-17 02:10:45,2016-07-17 02:10:48,5.27,ft,A
2016-07-17 01:40:40,2016-07-17 01:40:44,5.27,ft,A
2016-07-17 01:10:41,2016-07-17 01:10:44,5.27,ft,A
2016-07-17 00:40:57,2016-07-17 00:41:00,5.26,ft,A
2016-07-17 00:10:32,2016-07-17 00:10:36,5.27,ft,A
2016-07-16 23:40:39,2016-07-16 23:40:42,5.26,ft,A
2016-07-16 23:10:33,2016-07-16 23:10:37,5.26,ft,A
2016-07-16 22:40:15,2016-07-16 22:40:18,5.24,ft,A
2016-07-16 22:10:02,2016-07-16 22:10:06,5.25,ft,A
2016-07-16 21:40:18,2016-07-16 21:40:21,5.25,ft,A
2016-07-16 21:10:22,2016-07-16 21:10:25,5.26,ft,A
2016-07-16 20:40:10,2016-07-16 20:40:13,5.26,ft,A
2016-07-16 20:10:19,2016-07-16 20:10:23,5.25,ft,A
2016-07-16 19:40:59,2016-07-16 19:41:02,5.25,ft,A
2016-07-16 19:10:35,2016-07-16 19:10:39,5.24,ft,A
2016-07-16 18:40:13,2016-07-16 18:40:16,5.24,ft,A
2016-07-16 18:10:13,2016-07-16 18:10:16,5.24,ft,A
2016-07-16 17:40:24,2016-07-16 17:40:28,5.24,ft,A
2016-07-16 17:10:31,2016-07-16 17:10:34,5.23,ft,A
2016-07-16 16:40:15,2016-07-16 16:40:19,5.22,ft,A
2016-07-16 16:10:12,2016-07-16 16:10:15,5.24,ft,A
2016-07-16 15:40:34,2016-07-16 15:40:37,5.23,ft,A
2016-07-16 15:10:42,2016-07-16 15:10:45,5.23,ft,A
2016-07-16 14:41:00,2016-07-16 14:41:03,5.24,ft,A
2016-07-16 14:10:23,2016-07-16 14:10:26,5.24,ft,A
2016-07-16 13:40:42,2016-07-16 13:40:45,5.26,ft,A
2016-07-16 13:10:14,2016-07-16 13:10:17,5.27,ft,A
2016-07-16 12:40:30,2016-07-16 12:40:33,5.29,ft,A
2016-07-16 12:11:00,2016-07-16 12:11:03,5.29,ft,A
2016-07-16 11:40:51,2016-07-16 11:40:55,5.31,ft,A
2016-07-16 11:10:13,2016-07-16 11:10:16,5.29,ft,A
2016-07-16 10:40:18,2016-07-16 10:40:21,5.24,ft,A
2016-07-16 10:10:24,2016-07-16 10:10:27,5.28,ft,A
2016-07-16 09:40:53,2016-07-16 09:40:56,5.33,ft,A
2016-07-16 09:11:25,2016-07-16 09:11:28,5.40,ft,A
2016-07-16 08:41:04,2016-07-16 08:41:07,5.70,ft,A
2016-07-16 08:12:20,2016-07-16 08:12:23,7.42,ft,A
2016-07-16 07:43:04,2016-07-16 07:43:08,7.44,ft,A
2016-07-16 07:12:28,2016-07-16 07:12:31,7.43,ft,A
2016-07-16 06:42:35,2016-07-16 06:42:38,7.44,ft,A
2016-07-16 06:12:06,2016-07-16 06:12:09,7.44,ft,A
2016-07-16 05:41:55,2016-07-16 05:41:58,7.44,ft,A
2016-07-16 05:11:34,2016-07-16 05:11:37,7.44,ft,A
2016-07-16 04:41:27,2016-07-16 04:41:30,7.44,ft,A
2016-07-16 04:11:46,2016-07-16 04:11:50,7.44,ft,A
2016-07-16 03:41:18,2016-07-16 03:41:22,7.43,ft,A
2016-07-16 03:11:11,2016-07-16 03:11:14,7.43,ft,A
2016-07-16 02:40:56,2016-07-16 02:40:59,7.43,ft,A
2016-07-16 02:11:22,2016-07-16 02:11:25,7.42,ft,A
2016-07-16 01:41:01,2016-07-16 01:41:04,7.42,ft,A
2016-07-16 01:10:51,2016-07-16 01:10:55,7.42,ft,A
2016-07-16 00:41:05,2016-07-16 00:41:08,7.42,ft,A
2016-07-16 00:11:15,2016-07-16 00:11:18,7.41,ft,A
2016-07-15 23:40:43,2016-07-15 23:40:46,7.41,ft,A
2016-07-15 23:10:43,2016-07-15 23:10:47,7.41,ft,A
2016-07-15 22:40:38,2016-07-15 22:40:46,7.40,ft,A
2016-07-15 22:10:58,2016-07-15 22:11:01,7.41,ft,A
2016-07-15 21:40:34,2016-07-15 21:40:37,7.41,ft,A
2016-07-15 21:10:41,2016-07-15 21:10:44,7.41,ft,A
2016-07-15 20:40:13,2016-07-15 20:40:16,7.40,ft,A
2016-07-15 20:10:44,2016-07-15 20:10:47,7.39,ft,A
2016-07-15 19:40:26,2016-07-15 19:40:29,7.38,ft,A
2016-07-15 19:10:23,2016-07-15 19:10:27,7.35,ft,A
2016-07-15 18:40:41,2016-07-15 18:40:45,7.33,ft,A
2016-07-15 18:10:52,2016-07-15 18:10:56,7.32,ft,A
2016-07-15 17:40:54,2016-07-15 17:40:57,7.30,ft,A
2016-07-15 17:10:41,2016-07-15 17:10:44,7.29,ft,A
2016-07-15 16:40:45,2016-07-15 16:40:48,7.29,ft,A
2016-07-15 16:11:00,2016-07-15 16:11:03,7.30,ft,A
2016-07-15 15:40:47,2016-07-15 15:40:50,7.30,ft,A
2016-07-15 15:11:38,2016-07-15 15:11:42,7.30,ft,A
2016-07-15 14:40:47,2016-07-15 14:40:51,7.30,ft,A
2016-07-15 14:11:02,2016-07-15 14:11:06,7.29,ft,A
2016-07-15 13:41:09,2016-07-15 13:41:12,7.28,ft,A
2016-07-15 13:11:07,2016-07-15 13:11:10,7.28,ft,A
2016-07-15 12:41:44,2016-07-15 12:41:47,7.29,ft,A
2016-07-15 12:11:07,2016-07-15 12:11:11,7.29,ft,A
2016-07-15 11:11:14,2016-07-15 11:11:17,7.30,ft,A
2016-07-15 10:42:23,2016-07-15 10:42:26,7.30,ft,A
2016-07-15 10:11:35,2016-07-15 10:11:38,7.30,ft,A
2016-07-15 09:41:36,2016-07-15 09:41:39,7.31,ft,A
2016-07-15 09:11:29,2016-07-15 09:11:32,7.32,ft,A
2016-07-15 08:40:55,2016-07-15 08:40:58,7.31,ft,A
2016-07-15 08:12:00,2016-07-15 08:12:04,7.31,ft,A
2016-07-15 07:42:07,2016-07-15 07:42:11,7.30,ft,A
2016-07-15 07:12:10,2016-07-15 07:12:13,7.30,ft,A
2016-07-15 06:42:36,2016-07-15 06:42:39,7.30,ft,A
2016-07-15 06:12:02,2016-07-15 06:12:06,7.30,ft,A
2016-07-15 05:41:30,2016-07-15 05:41:33,7.30,ft,A
2016-07-15 05:11:02,2016-07-15 05:11:06,7.29,ft,A
2016-07-15 04:40:57,2016-07-15 04:41:01,7.29,ft,A
2016-07-15 04:10:59,2016-07-15 04:11:02,7.29,ft,A
2016-07-15 03:41:06,2016-07-15 03:41:10,7.29,ft,A
2016-07-15 03:10:51,2016-07-15 03:10:55,7.29,ft,A
2016-07-15 02:40:43,2016-07-15 02:40:47,7.30,ft,A
2016-07-15 02:11:05,2016-07-15 02:11:08,7.29,ft,A
2016-07-15 01:40:42,2016-07-15 01:40:45,7.29,ft,A
2016-07-15 01:11:21,2016-07-15 01:11:25,7.29,ft,A
2016-07-15 00:40:44,2016-07-15 00:40:47,7.29,ft,A
2016-07-15 00:10:44,2016-07-15 00:10:47,7.28,ft,A
2016-07-14 23:40:30,2016-07-14 23:40:33,7.28,ft,A
2016-07-14 23:11:02,2016-07-14 23:11:05,7.29,ft,A
2016-07-14 22:40:16,2016-07-14 22:40:19,7.30,ft,A
2016-07-14 22:10:40,2016-07-14 22:10:43,7.30,ft,A
2016-07-14 21:40:34,2016-07-14 21:40:37,7.31,ft,A
2016-07-14 21:10:47,2016-07-14 21:10:51,7.30,ft,A
2016-07-14 20:40:32,2016-07-14 20:40:36,7.30,ft,A
2016-07-14 20:10:41,2016-07-14 20:10:44,7.31,ft,A
2016-07-14 19:40:24,2016-07-14 19:40:27,7.31,ft,A
2016-07-14 19:10:38,2016-07-14 19:10:41,7.31,ft,A
2016-07-14 18:40:14,2016-07-14 18:40:17,7.32,ft,A
2016-07-14 18:10:33,2016-07-14 18:10:36,7.32,ft,A
2016-07-14 17:40:26,2016-07-14 17:40:30,7.33,ft,A
2016-07-14 17:10:23,2016-07-14 17:10:26,7.33,ft,A
2016-07-14 16:42:08,2016-07-14 16:42:11,7.34,ft,A
2016-07-14 16:12:01,2016-07-14 16:12:04,7.35,ft,A
2016-07-14 15:41:03,2016-07-14 15:41:06,7.37,ft,A
2016-07-14 15:11:28,2016-07-14 15:11:31,7.39,ft,A
2016-07-14 14:41:07,2016-07-14 14:41:11,7.41,ft,A
2016-07-14 14:10:58,2016-07-14 14:11:01,7.42,ft,A
2016-07-14 13:41:30,2016-07-14 13:41:34,7.45,ft,A
2016-07-14 13:11:17,2016-07-14 13:11:23,7.49,ft,A
2016-07-14 12:41:49,2016-07-14 12:41:52,7.56,ft,A
2016-07-14 12:10:35,2016-07-14 12:10:38,7.69,ft,A
2016-07-14 11:40:40,2016-07-14 11:40:43,7.66,ft,A
2016-07-14 11:10:07,2016-07-14 11:10:11,7.65,ft,A
2016-07-14 10:40:40,2016-07-14 10:40:44,7.64,ft,A
2016-07-14 10:10:15,2016-07-14 10:10:18,7.63,ft,A
2016-07-14 09:41:09,2016-07-14 09:41:12,7.61,ft,A
2016-07-14 09:11:58,2016-07-14 09:12:01,7.58,ft,A
2016-07-14 08:42:00,2016-07-14 08:42:04,7.56,ft,A
2016-07-14 08:12:20,2016-07-14 08:12:24,7.52,ft,A
2016-07-14 07:43:11,2016-07-14 07:43:14,7.47,ft,A
2016-07-14 07:12:36,2016-07-14 07:12:40,7.35,ft,A
2016-07-14 06:43:18,2016-07-14 06:43:21,7.35,ft,A
2016-07-14 06:12:45,2016-07-14 06:12:49,7.34,ft,A
2016-07-14 05:41:59,2016-07-14 05:42:02,7.34,ft,A
2016-07-14 05:11:51,2016-07-14 05:11:54,7.34,ft,A
2016-07-14 04:41:48,2016-07-14 04:41:51,7.34,ft,A
2016-07-14 04:11:41,2016-07-14 04:11:44,7.33,ft,A
2016-07-14 03:40:59,2016-07-14 03:41:02,7.33,ft,A
2016-07-14 03:11:12,2016-07-14 03:11:16,7.33,ft,A
2016-07-14 02:41:02,2016-07-14 02:41:05,7.33,ft,A
2016-07-14 02:11:36,2016-07-14 02:11:39,7.33,ft,A
2016-07-14 01:41:00,2016-07-14 01:41:03,7.34,ft,A
2016-07-14 01:11:01,2016-07-14 01:11:05,7.34,ft,A
2016-07-14 00:41:12,2016-07-14 00:41:16,7.34,ft,A
2016-07-14 00:11:20,2016-07-14 00:11:24,7.34,ft,A
2016-07-13 23:40:31,2016-07-13 23:40:34,7.34,ft,A
2016-07-13 23:11:03,2016-07-13 23:11:06,7.35,ft,A
2016-07-13 22:40:34,2016-07-13 22:40:38,7.35,ft,A
2016-07-13 22:10:53,2016-07-13 22:10:56,7.36,ft,A
2016-07-13 21:40:44,2016-07-13 21:40:47,7.38,ft,A
2016-07-13 21:10:45,2016-07-13 21:10:48,7.39,ft,A
2016-07-13 20:40:12,2016-07-13 20:40:15,7.41,ft,A
2016-07-13 20:10:52,2016-07-13 20:10:56,7.41,ft,A
2016-07-13 19:40:25,2016-07-13 19:40:28,7.42,ft,A
2016-07-13 19:10:50,2016-07-13 19:10:53,7.44,ft,A
2016-07-13 18:40:50,2016-07-13 18:40:53,7.46,ft,A
2016-07-13 18:10:40,2016-07-13 18:10:43,7.49,ft,A
2016-07-13 17:41:04,2016-07-13 17:41:07,7.52,ft,A
2016-07-13 17:10:36,2016-07-13 17:10:39,7.57,ft,A
2016-07-13 16:41:14,2016-07-13 16:41:17,7.65,ft,A
2016-07-13 16:10:50,2016-07-13 16:10:54,7.73,ft,A
2016-07-13 15:42:16,2016-07-13 15:42:19,7.68,ft,A
2016-07-13 15:11:22,2016-07-13 15:11:25,7.68,ft,A
2016-07-13 14:41:17,2016-07-13 14:41:20,7.67,ft,A
2016-07-13 14:10:32,2016-07-13 14:10:36,7.62,ft,A
2016-07-13 13:41:01,2016-07-13 13:41:04,7.63,ft,A
2016-07-13 13:10:24,2016-07-13 13:10:27,7.62,ft,A
2016-07-13 12:41:19,2016-07-13 12:41:23,7.61,ft,A
2016-07-13 12:10:43,2016-07-13 12:10:46,7.60,ft,A
2016-07-13 11:41:12,2016-07-13 11:41:15,7.59,ft,A
2016-07-13 11:10:52,2016-07-13 11:10:56,7.57,ft,A
2016-07-13 10:41:05,2016-07-13 10:41:09,7.55,ft,A
2016-07-13 10:10:55,2016-07-13 10:10:58,7.53,ft,A
2016-07-13 09:41:25,2016-07-13 09:41:28,7.50,ft,A
